Language,original,french,czech,german,russian,polish,hungarian,italian,spanish,english,chinese,japanese,portuguese,chinesesimp,,,,,,,,,,,
syb_house_inventory,House inventory,Inventaire de la maison,House inventory,House inventory,Инвентарь убежища,House inventory,House inventory,House inventory,House inventory,House inventory,House inventory,House inventory,Inventário da Casa,House inventory,,,,,,,,,,,
syb_homebook_name,Home Book,Livre de maison,Home Book,Home Book,Домовая книга,Home Book,Home Book,Home Book,Home Book,Home Book,Home Book,Home Book,Livro da Casa,Home Book,,,,,,,,,,,
syb_homebook_desc,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment que vous voulez faire de votre nouvelle maison. Прикрепите ее к зданию которое вы хотите сделать вашим новым домом.,Un livre pour tenir les registres des propriétaires et des améliorations de l'habitat. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment dont vous souhaitez faire votre nouvelle maison.,Un livre pour tenir les registres des propriétaires et des améliorations de la maison. Attachez-le au bâtiment que vous voulez faire de votre nouvelle maison.,Um livro para manter registrars de proprietários e melhorias da casa. Anexá-lo ao edifício que você deseja fazer sua nova casa.,Un livre pour tenir les registres des propriétaires et des améliorations de l'habitat. Attachez-le au bâtiment dont vous voulez faire votre nouvelle maison.,,,,,,,,,,,,
Claim ownership,Revendiquez la propriété,Revendiquez la propriété,Claim ownership,Claim ownership,Занять здание,Claim ownership,Claim ownership,Claim ownership,Claim ownership,Claim ownership,Claim ownership,Claim ownership,Reivindicar propriedade,Claim ownership,,,,,,,,,,,
syb_admin_tool_message_title,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MESSAGE DE L'ADMIN,MENSAGEM DO ADMIN,MESSAGE DE L'ADMIN,,,,,,,,,,,,,,,
syb_perk_info_times_longer,fois plus longtemps,fois plus longtemps,fois plus longtemps,fois plus longtemps,fois plus longtemps,fois plus longtemps,fois plus longtemps,Veces más largo,fois plus longtemps,fois plus longtemps,fois plus longtemps,vezes mais,fois plus longtemps,,,,,,,,,,,,
syb_failed_ignite_skillcheck,Vous n'avez pas réussi à allumer un feu,Vous n'avez pas réussi à allumer un feu.,Vous n'avez pas réussi à allumer un feu,Vous n'avez pas réussi à allumer un feu,Vous n'avez pas réussi à allumer un feu,No pudiste iniciar un incendio,Vous n'avez pas réussi à allumer un feu,Vous n'avez pas réussi à allumer un feu,Vous n'avez pas réussi à allumer un feu,Você falhou em acender o fogo,Vous n'avez pas réussi à allumer un feu,,,,,,,,,,,,,,
syb_trader_block_baditems,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas acheter certains des articles sélectionnés.,puede vender ni comprar algunos de los artículos seleccionados.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,Você não pode vender ou comprar alguns dos itens selecionados.,Vous ne pouvez pas vendre ou acheter certains des articles sélectionnés.,,,,,,,,,,,
syb_trader_block_toomany,Vous ne pouvez pas vendre trop d'objets en une seule action.,Vous ne pouvez pas vendre trop d'objets en une seule action.,Vous ne pouvez pas vendre trop d'objets en une seule action.,Vous ne pouvez pas vendre trop d'objets en une seule action.,Вы не можете продать так много предметов за один раз.,Vous ne pouvez pas vendre trop d'articles en une seule action.,Vous ne pouvez pas vendre trop d'articles en une seule action.,Vous ne pouvez pas vendre trop d'articles en une seule action. .,Vous ne pouvez pas vendre trop d'articles en une seule action.,Vous ne pouvez pas vendre trop d'articles en une seule action.,Vous ne pouvez pas vendre trop d'articles en une seule action.,Você não pode vender tantos itens em uma ação.,Vous ne pouvez pas vendre trop plusieurs éléments en une seule action.,,,,,,,,,,,,
